batchNum,subjectID,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
1,228,2,horizontal,horizontal,null,null,null,1831.185,null,null,null,null,null,below,IBstimulus_absent,null,null,4893.635
1,228,3,vertical,vertical,yes,red,reportColor,2552.545,3025.31,3745.005,3250.37,3973.06,4358.87,below,IBstimulus_present,red,left,23736.65
1,229,0,horizontal,vertical,null,null,null,6289.825,null,null,null,null,null,above,IBstimulus_absent,null,null,15402.285
1,229,1,horizontal,horizontal,null,null,null,4891.965,null,null,null,null,null,above,IBstimulus_absent,null,null,11146.655
1,229,2,vertical,vertical,null,null,null,3975.12,null,null,null,null,null,below,IBstimulus_absent,null,null,12264.63
1,229,3,horizontal,horizontal,no,blue,reportColor,3467.14,8493.19,14091.755,8442.3,6607.2,7741.76,below,IBstimulus_present,blue,right,53371.05
1,230,0,horizontal,vertical,null,null,null,3761.165,null,null,null,null,null,above,IBstimulus_absent,null,null,11809.365
1,230,1,vertical,horizontal,null,null,null,4203.405,null,null,null,null,null,below,IBstimulus_absent,null,null,10309.2
1,230,2,horizontal,horizontal,null,null,null,1557.39,null,null,null,null,null,above,IBstimulus_absent,null,null,7741.065
1,230,3,vertical,vertical,yes,blue,reportColor,2975.825,7292.73,8011.145,8889.05,3084.31,5993.28,above,IBstimulus_present,blue,right,42427.865
1,231,0,horizontal,horizontal,null,null,null,4050,null,null,null,null,null,above,IBstimulus_absent,null,null,11605
1,231,1,horizontal,horizontal,null,null,null,2250,null,null,null,null,null,above,IBstimulus_absent,null,null,10680
1,231,2,vertical,vertical,null,null,null,2530,null,null,null,null,null,above,IBstimulus_absent,null,null,6327
1,231,3,horizontal,vertical,yes,blue,reportColor,5214,4085,5417,5959,6158,4063,below,IBstimulus_absent,null,null,34271
1,232,0,vertical,vertical,null,null,null,2445.29,null,null,null,null,null,below,IBstimulus_absent,null,null,12297.065
1,232,1,vertical,vertical,null,null,null,4388.98,null,null,null,null,null,above,IBstimulus_absent,null,null,9087.69
1,232,2,horizontal,horizontal,null,null,null,2196.445,null,null,null,null,null,below,IBstimulus_absent,null,null,5936.33
1,232,3,horizontal,horizontal,yes,red,reportColor,2599.56,3330.76,6263.48,4448.9,3865.66,7227.615,above,IBstimulus_present,red,left,32125.73
1,233,0,horizontal,horizontal,null,null,null,4281.67,null,null,null,null,null,below,IBstimulus_absent,null,null,10778.61
