batchNum ,subjectID ,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
7,68,0,horizontal,horizontal,null,null,null,7965,null,null,null,null,null,below,IBstimulus_absent,null,null,14654
7,68,1,horizontal,vertical,null,null,null,2545,null,null,null,null,null,below,IBstimulus_absent,null,null,9154
7,68,2,vertical,vertical,null,null,null,2183,null,null,null,null,null,above,IBstimulus_absent,null,null,6321
7,68,3,horizontal,horizontal,no,red,reportColor,1903,5096,7361,4460,4773,5680,below,IBstimulus_present,red,right,32664
7,69,0,vertical,vertical,null,null,null,4454.44,null,null,null,null,null,below,IBstimulus_absent,null,null,12973.045
7,69,1,vertical,vertical,null,null,null,3045.6,null,null,null,null,null,above,IBstimulus_absent,null,null,9448.215
7,69,2,horizontal,horizontal,null,null,null,2304.365,null,null,null,null,null,below,IBstimulus_absent,null,null,8499.315
7,69,3,vertical,vertical,no,blue,reportColor,3140.455,6313.75,13982.06,7313.775,3367.49,5671.8,below,IBstimulus_absent,null,null,44591.865
7,70,0,horizontal,horizontal,null,null,null,4151.41,null,null,null,null,null,above,IBstimulus_absent,null,null,10133.115
7,70,1,vertical,vertical,null,null,null,2193.34,null,null,null,null,null,above,IBstimulus_absent,null,null,5645.445
7,70,2,vertical,vertical,null,null,null,3067.715,null,null,null,null,null,above,IBstimulus_absent,null,null,5935.73
7,70,3,horizontal,vertical,yes,red,reportColor,2741.66,3982.875,6111.535,4662.605,3135.135,7014.505,below,IBstimulus_present,blue,left,34676.19
7,71,0,horizontal,horizontal,null,null,null,4691.605,null,null,null,null,null,below,IBstimulus_absent,null,null,17521.58
7,71,1,vertical,vertical,null,null,null,3132.78,null,null,null,null,null,below,IBstimulus_absent,null,null,12905.77
7,71,2,horizontal,horizontal,null,null,null,2178.835,null,null,null,null,null,above,IBstimulus_absent,null,null,5511.26
7,71,3,horizontal,horizontal,yes,red,reportColor,4951.655,7908.27,15461.235,7025.925,5118.07,4955.355,above,IBstimulus_absent,null,null,48719.72
7,72,0,vertical,vertical,null,null,null,2022.575,null,null,null,null,null,below,IBstimulus_absent,null,null,9644.215
7,72,1,vertical,vertical,null,null,null,2044.545,null,null,null,null,null,below,IBstimulus_absent,null,null,5852.83
7,72,2,horizontal,horizontal,null,null,null,1933.015,null,null,null,null,null,below,IBstimulus_absent,null,null,5687.335
7,72,3,vertical,vertical,no,blue,reportColor,2529.34,5423.605,10198.23,4832,3623.91,5016.07,above,IBstimulus_absent,null,null,34780.835
7,73,0,horizontal,horizontal,null,null,null,3685.355,null,null,null,null,null,below,IBstimulus_absent,null,null,8563.29
7,73,1,vertical,vertical,null,null,null,4131.645,null,null,null,null,null,below,IBstimulus_absent,null,null,11093.235
7,73,2,horizontal,horizontal,null,null,null,3729.9,null,null,null,null,null,above,IBstimulus_absent,null,null,6998.05
7,73,3,vertical,vertical,no,blue,reportColor,3391.94,5821.985,11324.95,4788.215,3283.925,5238.245,above,IBstimulus_absent,null,null,37180.015
7,74,0,vertical,horizontal,null,null,null,5158.87,null,null,null,null,null,below,IBstimulus_absent,null,null,13672.865
7,74,1,horizontal,horizontal,null,null,null,1460.04,null,null,null,null,null,below,IBstimulus_absent,null,null,5900.955
7,74,2,vertical,horizontal,null,null,null,1392.88,null,null,null,null,null,above,IBstimulus_absent,null,null,5567.35
7,74,3,vertical,horizontal,yes,blue,reportColor,1235.785,4220.655,3516.305,2546.085,2497.3,3531.77,below,IBstimulus_present,blue,left,21330.42
7,75,0,vertical,vertical,null,null,null,4311.205,null,null,null,null,null,below,IBstimulus_absent,null,null,13172.335
7,75,1,vertical,vertical,null,null,null,1757.2,null,null,null,null,null,below,IBstimulus_absent,null,null,8326.165
7,75,2,vertical,vertical,null,null,null,3985.78,null,null,null,null,null,above,IBstimulus_absent,null,null,8154.75
7,75,3,horizontal,horizontal,no,blue,reportColor,1687.085,5857.34,10622.02,6028.385,4475.21,5374.525,above,IBstimulus_absent,null,null,37991.585
7,76,0,vertical,vertical,null,null,null,3488.145,null,null,null,null,null,below,IBstimulus_absent,null,null,9550.02
7,76,1,horizontal,horizontal,null,null,null,1139.995,null,null,null,null,null,below,IBstimulus_absent,null,null,4764.755
7,76,2,horizontal,horizontal,null,null,null,1248.37,null,null,null,null,null,above,IBstimulus_absent,null,null,4406.82
7,76,3,vertical,vertical,no,red,reportColor,1136.065,2863.465,5591.745,3815.595,2871.29,3144.21,above,IBstimulus_present,red,right,21997.435
7,77,0,horizontal,horizontal,null,null,null,4996.975,null,null,null,null,null,below,IBstimulus_absent,null,null,11492.955
7,77,1,vertical,vertical,null,null,null,3017.37,null,null,null,null,null,below,IBstimulus_absent,null,null,6902.455
7,77,2,vertical,vertical,null,null,null,3301.505,null,null,null,null,null,above,IBstimulus_absent,null,null,6866.935
7,77,3,horizontal,horizontal,yes,blue,reportColor,2611.595,4418.01,4825.47,5009.19,3679.955,5776.715,above,IBstimulus_present,blue,left,30488.33
7,78,0,horizontal,vertical,null,null,null,5931.81,null,null,null,null,null,below,IBstimulus_absent,null,null,14621.835
7,78,1,vertical,vertical,null,null,null,2104.165,null,null,null,null,null,above,IBstimulus_absent,null,null,6251.175
7,78,2,vertical,vertical,null,null,null,2990.58,null,null,null,null,null,below,IBstimulus_absent,null,null,6916.88
7,78,3,vertical,vertical,yes,blue,reportColor,2070.05,4601.305,6321.44,8348.56,5870.35,5497.825,below,IBstimulus_present,blue,right,36390.8
7,79,0,vertical,vertical,null,null,null,1824.675,null,null,null,null,null,below,IBstimulus_absent,null,null,9981.14
7,79,1,vertical,vertical,null,null,null,3439.8,null,null,null,null,null,above,IBstimulus_absent,null,null,7613.045
7,79,2,horizontal,horizontal,null,null,null,2642.7,null,null,null,null,null,below,IBstimulus_absent,null,null,7068.245
7,79,3,vertical,vertical,yes,blue,reportColor,4359.945,4206.4,4843.88,6515.56,3034.26,6720.78,above,IBstimulus_present,blue,right,34523.85
7,80,0,vertical,vertical,null,null,null,6891.54,null,null,null,null,null,above,IBstimulus_absent,null,null,16231.82
7,80,1,vertical,vertical,null,null,null,2836.535,null,null,null,null,null,above,IBstimulus_absent,null,null,9540.51
7,80,2,vertical,vertical,null,null,null,6231.705,null,null,null,null,null,below,IBstimulus_absent,null,null,11886.625
7,80,3,horizontal,horizontal,no,red,reportColor,2280.965,13295.645,14943.725,12439.475,5743.885,7735.835,above,IBstimulus_present,red,right,60492.455
7,81,0,horizontal,horizontal,null,null,null,2704.665,null,null,null,null,null,above,IBstimulus_absent,null,null,9593.24
7,81,1,vertical,vertical,null,null,null,2039.165,null,null,null,null,null,below,IBstimulus_absent,null,null,7164.36
7,81,2,vertical,vertical,null,null,null,1975.64,null,null,null,null,null,above,IBstimulus_absent,null,null,5834.835
7,81,3,vertical,vertical,no,red,reportColor,2499.905,4022.175,8234.735,17114.5,3726.36,6704.85,below,IBstimulus_absent,null,null,46072.525
7,82,0,vertical,horizontal,null,null,null,6405,null,null,null,null,null,below,IBstimulus_absent,null,null,14074
7,82,1,vertical,vertical,null,null,null,3372,null,null,null,null,null,below,IBstimulus_absent,null,null,7905
7,82,2,horizontal,horizontal,null,null,null,1578,null,null,null,null,null,below,IBstimulus_absent,null,null,5022
7,82,3,vertical,vertical,no,red,reportColor,1634,2517,7795,10716,3376,3693,below,IBstimulus_present,blue,right,32972
7,83,0,vertical,vertical,null,null,null,2457.26,null,null,null,null,null,below,IBstimulus_absent,null,null,8211.21
7,83,1,horizontal,horizontal,null,null,null,1280.29,null,null,null,null,null,above,IBstimulus_absent,null,null,5411.85
7,83,2,vertical,vertical,null,null,null,1162.925,null,null,null,null,null,above,IBstimulus_absent,null,null,4444.58
7,83,3,vertical,vertical,no,blue,reportColor,1200.59,3469.81,5616.205,5568.365,2913.74,1937.8,below,IBstimulus_absent,null,null,23668.935
7,84,0,horizontal,horizontal,null,null,null,2212,null,null,null,null,null,above,IBstimulus_absent,null,null,10471
7,84,1,vertical,vertical,null,null,null,2672,null,null,null,null,null,above,IBstimulus_absent,null,null,6174
7,84,2,vertical,vertical,null,null,null,2396,null,null,null,null,null,above,IBstimulus_absent,null,null,5139
7,84,3,horizontal,horizontal,yes,red,reportColor,1145,3191,1809,4963,2843,3952,above,IBstimulus_present,red,right,20670
7,85,0,vertical,horizontal,null,null,null,2782.485,null,null,null,null,null,below,IBstimulus_absent,null,null,10780.305
7,85,1,horizontal,horizontal,null,null,null,2599.065,null,null,null,null,null,below,IBstimulus_absent,null,null,6600.89
7,85,2,vertical,vertical,null,null,null,1644.58,null,null,null,null,null,above,IBstimulus_absent,null,null,4530.38
7,85,3,horizontal,horizontal,no,blue,reportColor,1274.225,3695.53,6794.06,3770.68,3374.655,3259.4,above,IBstimulus_absent,null,null,24955.275
7,86,0,horizontal,horizontal,null,null,null,1886.8,null,null,null,null,null,above,IBstimulus_absent,null,null,10710.23
7,86,1,vertical,vertical,null,null,null,1726.14,null,null,null,null,null,below,IBstimulus_absent,null,null,8020.825
7,86,2,horizontal,horizontal,null,null,null,1398.265,null,null,null,null,null,below,IBstimulus_absent,null,null,5870.725
7,86,3,vertical,vertical,no,red,reportColor,1682.485,3839.78,9767.445,7367.73,3455.735,5807.52,below,IBstimulus_absent,null,null,40999.31
7,87,0,vertical,vertical,null,null,null,4227.255,null,null,null,null,null,above,IBstimulus_absent,null,null,11261.645
7,87,1,vertical,vertical,null,null,null,1724.055,null,null,null,null,null,above,IBstimulus_absent,null,null,6684.83
7,87,2,vertical,vertical,null,null,null,1502.5,null,null,null,null,null,below,IBstimulus_absent,null,null,5198.475
7,87,3,horizontal,horizontal,no,red,reportColor,1638.645,5415.91,8751.455,6967.195,2903.72,3623.55,below,IBstimulus_absent,null,null,32487.525
7,88,0,horizontal,horizontal,null,null,null,3518.01,null,null,null,null,null,above,IBstimulus_absent,null,null,9145.15
7,88,1,vertical,vertical,null,null,null,2166.57,null,null,null,null,null,above,IBstimulus_absent,null,null,5779.62
7,88,2,horizontal,horizontal,null,null,null,1301.14,null,null,null,null,null,above,IBstimulus_absent,null,null,4366.865
7,88,3,vertical,vertical,no,red,reportColor,1301.745,4791.365,8543.71,4495.46,3839.74,5791.53,above,IBstimulus_absent,null,null,31443.435
7,89,0,horizontal,horizontal,null,null,null,3172.655,null,null,null,null,null,below,IBstimulus_absent,null,null,10224.29
7,89,1,horizontal,horizontal,null,null,null,2975.095,null,null,null,null,null,above,IBstimulus_absent,null,null,11265.04
7,89,2,horizontal,horizontal,null,null,null,3446.21,null,null,null,null,null,below,IBstimulus_absent,null,null,7819.4
7,89,3,vertical,vertical,yes,blue,reportColor,2438.095,7814.85,10147.605,5629.605,3254.39,3906.58,below,IBstimulus_absent,null,null,36784.535
7,90,0,vertical,vertical,null,null,null,5120.04,null,null,null,null,null,below,IBstimulus_absent,null,null,9880.585
