batchNum,subjectIDCum,subjectID,trialNum,longerArm,response_longerArm,response_yesNo,response_AFC,AFCquestion,RT_longerArm,RT_yesNo,RT_AFC,RT_IBfamiliarity,RT_age,RT_ishihara,aboveBelow,trialType,IBstimulus_color,IBstimulus_location,trialTime
5,1334,67,3,vertical,horizontal,no,red,reportColor,4384,5814,12138,5837,2587,4851,above,IBstimulus_absent,null,null,39408
5,1335,68,0,vertical,vertical,null,null,null,10294.965,null,null,null,null,null,below,IBstimulus_absent,null,null,19280.245
5,1335,68,1,horizontal,horizontal,null,null,null,5290.22,null,null,null,null,null,above,IBstimulus_absent,null,null,9937.1
5,1335,68,2,horizontal,horizontal,null,null,null,7838.685,null,null,null,null,null,below,IBstimulus_absent,null,null,14976.115
5,1335,68,3,horizontal,vertical,no,blue,reportColor,5140.48,12563.75,12450.01,9199.955,6446.34,6479.69,above,IBstimulus_present,blue,left,58037.66
5,1336,69,0,horizontal,horizontal,null,null,null,4891.775,null,null,null,null,null,below,IBstimulus_absent,null,null,12597.41
5,1336,69,1,vertical,vertical,null,null,null,3326.075,null,null,null,null,null,below,IBstimulus_absent,null,null,8829.585
5,1336,69,2,horizontal,horizontal,null,null,null,2535.615,null,null,null,null,null,below,IBstimulus_absent,null,null,6359.135
5,1336,69,3,horizontal,horizontal,yes,blue,reportColor,2404.32,7663.385,11855.41,6687.525,3759.035,18671.54,above,IBstimulus_present,blue,right,54794.255
5,1337,70,0,horizontal,horizontal,null,null,null,2463.11,null,null,null,null,null,below,IBstimulus_absent,null,null,7871.625
5,1337,70,1,horizontal,vertical,null,null,null,2180.9,null,null,null,null,null,above,IBstimulus_absent,null,null,5809
5,1337,70,2,vertical,vertical,null,null,null,2377.91,null,null,null,null,null,above,IBstimulus_absent,null,null,5717.84
5,1337,70,3,horizontal,horizontal,no,red,reportColor,2099.99,5453.69,7629.275,7924.935,3034.745,3687.67,above,IBstimulus_absent,null,null,32456.49
5,1338,71,0,vertical,horizontal,null,null,null,3326.7,null,null,null,null,null,above,IBstimulus_absent,null,null,7958.035
5,1338,71,1,vertical,vertical,null,null,null,1858.81,null,null,null,null,null,below,IBstimulus_absent,null,null,6372.985
5,1338,71,2,vertical,vertical,null,null,null,1741.66,null,null,null,null,null,below,IBstimulus_absent,null,null,10359.2
5,1338,71,3,horizontal,horizontal,no,blue,reportColor,1695.18,4239.775,6264.025,6248.36,3719,4264.21,below,IBstimulus_absent,null,null,29502.99
5,1339,72,0,horizontal,horizontal,null,null,null,4891.775,null,null,null,null,null,below,IBstimulus_absent,null,null,12597.41
5,1339,72,1,vertical,vertical,null,null,null,3326.075,null,null,null,null,null,below,IBstimulus_absent,null,null,8829.585
5,1339,72,2,horizontal,horizontal,null,null,null,2535.615,null,null,null,null,null,below,IBstimulus_absent,null,null,6359.135
5,1339,72,3,horizontal,horizontal,yes,blue,reportColor,2404.32,7663.385,11855.41,6687.525,3759.035,18671.54,above,IBstimulus_present,blue,right,54794.255
5,1340,73,0,vertical,vertical,null,null,null,2739,null,null,null,null,null,above,IBstimulus_absent,null,null,10784
5,1340,73,1,horizontal,horizontal,null,null,null,2883,null,null,null,null,null,above,IBstimulus_absent,null,null,10128
5,1340,73,2,horizontal,horizontal,null,null,null,2389,null,null,null,null,null,below,IBstimulus_absent,null,null,5961
5,1340,73,3,vertical,vertical,no,blue,reportColor,1978,5998,12079,5970,3870,5509,below,IBstimulus_absent,null,null,41001
5,1341,74,0,vertical,vertical,null,null,null,10014.76,null,null,null,null,null,above,IBstimulus_absent,null,null,21183.26
5,1341,74,1,vertical,vertical,null,null,null,5131.14,null,null,null,null,null,above,IBstimulus_absent,null,null,12330.08
5,1341,74,2,vertical,vertical,null,null,null,5384.22,null,null,null,null,null,below,IBstimulus_absent,null,null,10082.045
